Zeitstempel: 2020-09-23T12:58:11.150  ///  Zu vergleichendes Bild: Auto03

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Auto03 und Auto01 => 42297.308756834165
Distanz zwischen Auto03 und Auto01_bw => 41623.14898164638
Distanz zwischen Auto03 und Auto01_mir => 42304.38118096775
Distanz zwischen Auto03 und Auto01_rot => 33368.37870604409
Distanz zwischen Auto03 und Auto02 => 32554.94449790958
Distanz zwischen Auto03 und Auto02_bw => 32781.27946900994
Distanz zwischen Auto03 und Auto02_mir => 32552.112507078986
Distanz zwischen Auto03 und Auto02_rot => 24359.07634004982
Distanz zwischen Auto03 und Auto03 => 0.0
Distanz zwischen Auto03 und Auto03_bw => 198.66398061691294
Distanz zwischen Auto03 und Auto03_mir => 12.241402097361526
Distanz zwischen Auto03 und Auto03_rot => 3367.1217921415932
Distanz zwischen Auto03 und Auto04 => 9984.034315537163
Distanz zwischen Auto03 und Auto04_bw => 10666.155690320304
Distanz zwischen Auto03 und Auto04_mir => 10122.737510896368
Distanz zwischen Auto03 und Auto04_rot => 5346.329240190547
Distanz zwischen Auto03 und Auto05 => 32028.374771208528
Distanz zwischen Auto03 und Auto05_bw => 32281.244879457223
Distanz zwischen Auto03 und Auto05_mir => 32023.608832174075
Distanz zwischen Auto03 und Auto05_rot => 25628.93769061016
Distanz zwischen Auto03 und Auto06 => 31152.93673046863
Distanz zwischen Auto03 und Auto06_bw => 31107.077042940473
Distanz zwischen Auto03 und Auto06_mir => 31051.203720017034
Distanz zwischen Auto03 und Auto06_rot => 24662.115796501563
Distanz zwischen Auto03 und Auto07 => 20389.54083772222
Distanz zwischen Auto03 und Auto08 => 14335.746253743808
Distanz zwischen Auto03 und Auto08_bw => 13248.44757763445
Distanz zwischen Auto03 und Auto08_mir => 14348.625933302506
Distanz zwischen Auto03 und Auto08_rot => 8807.059966699731
Distanz zwischen Auto03 und Auto09 => 14260.984343567445
Distanz zwischen Auto03 und Auto09_bw => 14809.687970673105
Distanz zwischen Auto03 und Auto09_mir => 14255.891002381764
Distanz zwischen Auto03 und Auto09_rot => 8640.008805430005
Distanz zwischen Auto03 und Auto10 => 25392.13696117413
Distanz zwischen Auto03 und Auto10_bw => 25093.73473519554
Distanz zwischen Auto03 und Auto10_mir => 25472.390507536216
Distanz zwischen Auto03 und Auto10_rot => 17611.826708022032
Distanz zwischen Auto03 und Bike01 => 10232.898416051068
Distanz zwischen Auto03 und Bike01_bw => 9666.712395351631
Distanz zwischen Auto03 und Bike01_mir => 10216.20113615084
Distanz zwischen Auto03 und Bike01_rot => 15194.503541768117
Distanz zwischen Auto03 und Bike02 => 26772.192857144724
Distanz zwischen Auto03 und Bike02_bw => 26823.781818408843
Distanz zwischen Auto03 und Bike02_mir => 26824.09247308263
Distanz zwischen Auto03 und Bike02_rot => 15069.060417155015
Distanz zwischen Auto03 und Bike03 => 2334.222161272359
Distanz zwischen Auto03 und Bike03_bw => 2040.607908393028
Distanz zwischen Auto03 und Bike03_mir => 2318.8774551138645
Distanz zwischen Auto03 und Bike03_rot => 8505.439509157493
Distanz zwischen Auto03 und Bike04 => 20055.821107283937
