Zeitstempel: 2020-09-23T14:22:03.911  ///  Zu vergleichendes Bild: Bike04

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike04 und Auto01 => 23745.678503836796
Distanz zwischen Bike04 und Auto01_bw => 23157.559927365106
Distanz zwischen Bike04 und Auto01_mir => 23745.76887294613
Distanz zwischen Bike04 und Auto01_rot => 14678.408078967117
Distanz zwischen Bike04 und Auto02 => 13456.580841966515
Distanz zwischen Bike04 und Auto02_bw => 13742.610961219087
Distanz zwischen Bike04 und Auto02_mir => 13464.907631371492
Distanz zwischen Bike04 und Auto02_rot => 5017.080910483244
Distanz zwischen Bike04 und Auto03 => 20055.821107283937
Distanz zwischen Bike04 und Auto03_bw => 20079.60403562775
Distanz zwischen Bike04 und Auto03_mir => 20050.331399562176
Distanz zwischen Bike04 und Auto03_rot => 23157.849429103735
Distanz zwischen Bike04 und Auto04 => 9759.038890566355
Distanz zwischen Bike04 und Auto04_bw => 9057.99329933993
Distanz zwischen Bike04 und Auto04_mir => 9750.808029184027
Distanz zwischen Bike04 und Auto04_rot => 14288.462559033378
Distanz zwischen Bike04 und Auto05 => 13758.877352495507
Distanz zwischen Bike04 und Auto05_bw => 14118.814426257159
Distanz zwischen Bike04 und Auto05_mir => 13757.152835097966
Distanz zwischen Bike04 und Auto05_rot => 7215.6610245568845
Distanz zwischen Bike04 und Auto06 => 12511.140420234671
Distanz zwischen Bike04 und Auto06_bw => 12535.75494358603
Distanz zwischen Bike04 und Auto06_mir => 12505.966829838615
Distanz zwischen Bike04 und Auto06_rot => 5949.864661859209
Distanz zwischen Bike04 und Auto07 => 2813.361460090703
Distanz zwischen Bike04 und Auto08 => 5760.502917439027
Distanz zwischen Bike04 und Auto08_bw => 6703.236816197073
Distanz zwischen Bike04 und Auto08_mir => 5760.810263956126
Distanz zwischen Bike04 und Auto08_rot => 11194.260493976382
Distanz zwischen Bike04 und Auto09 => 5934.767717290143
Distanz zwischen Bike04 und Auto09_bw => 5375.902828459486
Distanz zwischen Bike04 und Auto09_mir => 5938.906612853567
Distanz zwischen Bike04 und Auto09_rot => 11497.91508406402
Distanz zwischen Bike04 und Auto10 => 7068.880502746794
Distanz zwischen Bike04 und Auto10_bw => 6819.091582522917
Distanz zwischen Bike04 und Auto10_mir => 7048.229257562557
Distanz zwischen Bike04 und Auto10_rot => 2110.6395398606164
Distanz zwischen Bike04 und Bike01 => 28430.562407264813
Distanz zwischen Bike04 und Bike01_bw => 27936.483269940298
Distanz zwischen Bike04 und Bike01_mir => 28410.091263129805
Distanz zwischen Bike04 und Bike01_rot => 33163.33709585563
Distanz zwischen Bike04 und Bike02 => 7758.337981644945
Distanz zwischen Bike04 und Bike02_bw => 7921.406863737853
Distanz zwischen Bike04 und Bike02_mir => 7811.621555400604
Distanz zwischen Bike04 und Bike02_rot => 5324.127075359253
Distanz zwischen Bike04 und Bike03 => 21840.385585108652
Distanz zwischen Bike04 und Bike03_bw => 21497.54880483318
Distanz zwischen Bike04 und Bike03_mir => 21878.2406478613
Distanz zwischen Bike04 und Bike03_rot => 28596.78931986367
Distanz zwischen Bike04 und Bike04 => 0.0
