Zeitstempel: 2020-09-23T16:05:53.028  ///  Zu vergleichendes Bild: Mensch01

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch01 und Auto01 => 37374.78002605893
Distanz zwischen Mensch01 und Auto01_bw => 36724.52516421044
Distanz zwischen Mensch01 und Auto01_mir => 37376.8357175988
Distanz zwischen Mensch01 und Auto01_rot => 28609.838757082714
Distanz zwischen Mensch01 und Auto02 => 27583.90072197521
Distanz zwischen Mensch01 und Auto02_bw => 27814.196852893958
Distanz zwischen Mensch01 und Auto02_mir => 27584.642224389114
Distanz zwischen Mensch01 und Auto02_rot => 19480.093935446705
Distanz zwischen Mensch01 und Auto03 => 5021.879799508832
Distanz zwischen Mensch01 und Auto03_bw => 5151.450134702362
Distanz zwischen Mensch01 und Auto03_mir => 5019.70117812396
Distanz zwischen Mensch01 und Auto03_rot => 8155.425461473927
Distanz zwischen Mensch01 und Auto04 => 5406.801149791436
Distanz zwischen Mensch01 und Auto04_bw => 6123.727968731233
Distanz zwischen Mensch01 und Auto04_mir => 5416.642036726688
Distanz zwischen Mensch01 und Auto04_rot => 847.1227534589561
Distanz zwischen Mensch01 und Auto05 => 27299.038953008592
Distanz zwischen Mensch01 und Auto05_bw => 27550.23195390265
Distanz zwischen Mensch01 und Auto05_mir => 27297.41951878388
Distanz zwischen Mensch01 und Auto05_rot => 20953.150037853
Distanz zwischen Mensch01 und Auto06 => 25500.451987311044
Distanz zwischen Mensch01 und Auto06_bw => 25606.478588767637
Distanz zwischen Mensch01 und Auto06_mir => 25490.94184655137
Distanz zwischen Mensch01 und Auto06_rot => 19076.321161978572
Distanz zwischen Mensch01 und Auto07 => 14771.108064247166
Distanz zwischen Mensch01 und Auto08 => 9535.446801059532
Distanz zwischen Mensch01 und Auto08_bw => 8379.474640948556
Distanz zwischen Mensch01 und Auto08_mir => 9537.4116130248
Distanz zwischen Mensch01 und Auto08_rot => 4105.855285237708
Distanz zwischen Mensch01 und Auto09 => 9420.51119064446
Distanz zwischen Mensch01 und Auto09_bw => 9986.179957656057
Distanz zwischen Mensch01 und Auto09_mir => 9423.510161113009
Distanz zwischen Mensch01 und Auto09_rot => 3807.456288286637
Distanz zwischen Mensch01 und Auto10 => 20185.22963302989
Distanz zwischen Mensch01 und Auto10_bw => 19931.11554200044
Distanz zwischen Mensch01 und Auto10_mir => 20172.248814143506
Distanz zwischen Mensch01 und Auto10_rot => 12754.909900161281
Distanz zwischen Mensch01 und Bike01 => 13852.07865482265
Distanz zwischen Mensch01 und Bike01_bw => 13329.220565848325
Distanz zwischen Mensch01 und Bike01_mir => 13834.999791942038
Distanz zwischen Mensch01 und Bike01_rot => 18526.848595643005
Distanz zwischen Mensch01 und Bike02 => 21994.488556635
Distanz zwischen Mensch01 und Bike02_bw => 22073.00233594717
Distanz zwischen Mensch01 und Bike02_mir => 22047.79895407286
Distanz zwischen Mensch01 und Bike02_rot => 10452.358447476694
Distanz zwischen Mensch01 und Bike03 => 7124.257883111539
Distanz zwischen Mensch01 und Bike03_bw => 6825.387096336316
Distanz zwischen Mensch01 und Bike03_mir => 7116.851985356579
