Zeitstempel: 2020-09-23T17:56:19.251  ///  Zu vergleichendes Bild: Pferd07

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Pferd07 und Auto01 => 26920.959515256825
Distanz zwischen Pferd07 und Auto01_bw => 26316.245972755147
Distanz zwischen Pferd07 und Auto01_mir => 26920.786216969518
Distanz zwischen Pferd07 und Auto01_rot => 18043.249340007485
Distanz zwischen Pferd07 und Auto02 => 17251.579412779345
Distanz zwischen Pferd07 und Auto02_bw => 17514.48062771866
Distanz zwischen Pferd07 und Auto02_mir => 17250.318890567578
Distanz zwischen Pferd07 und Auto02_rot => 9018.277699531604
Distanz zwischen Pferd07 und Auto03 => 15710.16916882792
Distanz zwischen Pferd07 und Auto03_bw => 15760.643322852266
Distanz zwischen Pferd07 und Auto03_mir => 15706.389341202474
Distanz zwischen Pferd07 und Auto03_rot => 18743.263143607874
Distanz zwischen Pferd07 und Auto04 => 5888.1633383958815
Distanz zwischen Pferd07 und Auto04_bw => 5198.8205868405785
Distanz zwischen Pferd07 und Auto04_mir => 5874.3140573757955
Distanz zwischen Pferd07 und Auto04_rot => 10329.11169916794
Distanz zwischen Pferd07 und Auto05 => 17517.827221520936
Distanz zwischen Pferd07 und Auto05_bw => 17835.776601230442
Distanz zwischen Pferd07 und Auto05_mir => 17516.04558040407
Distanz zwischen Pferd07 und Auto05_rot => 11121.815175971335
Distanz zwischen Pferd07 und Auto06 => 16159.409163238892
Distanz zwischen Pferd07 und Auto06_bw => 16192.755436561076
Distanz zwischen Pferd07 und Auto06_mir => 16157.200414754758
Distanz zwischen Pferd07 und Auto06_rot => 9776.705023617897
Distanz zwischen Pferd07 und Auto07 => 6457.358323392857
Distanz zwischen Pferd07 und Auto08 => 2034.6900877651633
Distanz zwischen Pferd07 und Auto08_bw => 2929.490002235035
Distanz zwischen Pferd07 und Auto08_mir => 2032.6521204506842
Distanz zwischen Pferd07 und Auto08_rot => 7221.537498200719
Distanz zwischen Pferd07 und Auto09 => 2158.3559021220417
Distanz zwischen Pferd07 und Auto09_bw => 1624.3862585183838
Distanz zwischen Pferd07 und Auto09_mir => 2164.4077327874015
Distanz zwischen Pferd07 und Auto09_rot => 7486.0277719466
Distanz zwischen Pferd07 und Auto10 => 10849.498973810742
Distanz zwischen Pferd07 und Auto10_bw => 10598.832043291968
Distanz zwischen Pferd07 und Auto10_mir => 10826.638225086243
Distanz zwischen Pferd07 und Auto10_rot => 3276.2297813873415
Distanz zwischen Pferd07 und Bike01 => 24613.47311366678
Distanz zwischen Pferd07 und Bike01_bw => 24075.833438002788
Distanz zwischen Pferd07 und Bike01_mir => 24587.59110698967
Distanz zwischen Pferd07 und Bike01_rot => 29337.792565963915
Distanz zwischen Pferd07 und Bike02 => 11758.016832744186
Distanz zwischen Pferd07 und Bike02_bw => 11900.959884424543
Distanz zwischen Pferd07 und Bike02_mir => 11807.295949663125
Distanz zwischen Pferd07 und Bike02_rot => 1429.149831050506
Distanz zwischen Pferd07 und Bike03 => 17405.446089075413
Distanz zwischen Pferd07 und Bike03_bw => 17069.31690724322
Distanz zwischen Pferd07 und Bike03_mir => 17447.95881825803
