Zeitstempel: 2020-09-23T19:13:10.432  ///  Zu vergleichendes Bild: Rad09

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Rad09 und Auto01 => 13395.305333618118
Distanz zwischen Rad09 und Auto01_bw => 13955.68982828956
Distanz zwischen Rad09 und Auto01_mir => 13392.380356957041
Distanz zwischen Rad09 und Auto01_rot => 23319.4282010616
Distanz zwischen Rad09 und Auto02 => 24928.797412045173
Distanz zwischen Rad09 und Auto02_bw => 24596.1715663921
Distanz zwischen Rad09 und Auto02_mir => 24969.375760421102
Distanz zwischen Rad09 und Auto02_rot => 34007.17786409101
Distanz zwischen Rad09 und Auto03 => 61010.951898045896
Distanz zwischen Rad09 und Auto03_bw => 60948.81689160114
Distanz zwischen Rad09 und Auto03_mir => 60923.315943320915
Distanz zwischen Rad09 und Auto03_rot => 64962.74793287883
Distanz zwischen Rad09 und Auto04 => 48950.48000871961
Distanz zwischen Rad09 und Auto04_bw => 48068.89876185097
Distanz zwischen Rad09 und Auto04_mir => 49503.863180722416
Distanz zwischen Rad09 und Auto04_rot => 54425.41542298708
Distanz zwischen Rad09 und Auto05 => 24166.801657946336
Distanz zwischen Rad09 und Auto05_bw => 23750.20215751983
Distanz zwischen Rad09 und Auto05_mir => 24163.681330697575
Distanz zwischen Rad09 und Auto05_rot => 31532.402392353633
Distanz zwischen Rad09 und Auto06 => 25547.79059269301
Distanz zwischen Rad09 und Auto06_bw => 25500.76062992926
Distanz zwischen Rad09 und Auto06_mir => 25481.58869752091
Distanz zwischen Rad09 und Auto06_rot => 33106.728807167245
Distanz zwischen Rad09 und Auto07 => 37129.22994408655
Distanz zwischen Rad09 und Auto08 => 44482.80203652976
Distanz zwischen Rad09 und Auto08_bw => 45669.53640286315
Distanz zwischen Rad09 und Auto08_mir => 44519.540694375326
Distanz zwischen Rad09 und Auto08_rot => 50864.74313703324
Distanz zwischen Rad09 und Auto09 => 44401.30088929015
Distanz zwischen Rad09 und Auto09_bw => 43719.348060935794
Distanz zwischen Rad09 und Auto09_mir => 44392.81191014064
Distanz zwischen Rad09 und Auto09_rot => 51070.48657704247
Distanz zwischen Rad09 und Auto10 => 31443.517620034632
Distanz zwischen Rad09 und Auto10_bw => 31647.58287495235
Distanz zwischen Rad09 und Auto10_mir => 31587.58652792354
Distanz zwischen Rad09 und Auto10_rot => 40203.54236789253
Distanz zwischen Rad09 und Bike01 => 71969.62561500167
Distanz zwischen Rad09 und Bike01_bw => 71290.5815179186
Distanz zwischen Rad09 und Bike01_mir => 71939.19282562977
Distanz zwischen Rad09 und Bike01_rot => 77590.58058713141
Distanz zwischen Rad09 und Bike02 => 30732.7244588328
Distanz zwischen Rad09 und Bike02_bw => 30608.92722713561
Distanz zwischen Rad09 und Bike02_mir => 30638.613958336806
Distanz zwischen Rad09 und Bike02_rot => 43927.881540746
Distanz zwischen Rad09 und Bike03 => 63172.413846072355
Distanz zwischen Rad09 und Bike03_bw => 62716.754714673356
Distanz zwischen Rad09 und Bike03_mir => 62408.150297110646
Distanz zwischen Rad09 und Bike03_rot => 69716.9842588553
Distanz zwischen Rad09 und Bike04 => 40089.64933111123
