Zeitstempel: 2020-09-23T19:47:50.158  ///  Zu vergleichendes Bild: Schaf04

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Schaf04 und Auto01 => 50700.641320170835
Distanz zwischen Schaf04 und Auto01_bw => 50001.43991398982
Distanz zwischen Schaf04 und Auto01_mir => 50702.71505493126
Distanz zwischen Schaf04 und Auto01_rot => 41673.720403409556
Distanz zwischen Schaf04 und Auto02 => 41272.74132027042
Distanz zwischen Schaf04 und Auto02_bw => 41467.671396293976
Distanz zwischen Schaf04 und Auto02_mir => 41272.16673853999
Distanz zwischen Schaf04 und Auto02_rot => 33018.53634262258
Distanz zwischen Schaf04 und Auto03 => 8915.111250177128
Distanz zwischen Schaf04 und Auto03_bw => 8742.886575137125
Distanz zwischen Schaf04 und Auto03_mir => 8909.558855235371
Distanz zwischen Schaf04 und Auto03_rot => 5542.958727715304
Distanz zwischen Schaf04 und Auto04 => 18051.754830324582
Distanz zwischen Schaf04 und Auto04_bw => 18809.605871590837
Distanz zwischen Schaf04 und Auto04_mir => 18050.74877256077
Distanz zwischen Schaf04 und Auto04_rot => 13189.593248087036
Distanz zwischen Schaf04 und Auto05 => 40743.70394022526
Distanz zwischen Schaf04 und Auto05_bw => 40973.7615672241
Distanz zwischen Schaf04 und Auto05_mir => 40739.8306927428
Distanz zwischen Schaf04 und Auto05_rot => 34316.494403575445
Distanz zwischen Schaf04 und Auto06 => 38590.55418817386
Distanz zwischen Schaf04 und Auto06_bw => 38726.33760674028
Distanz zwischen Schaf04 und Auto06_mir => 38587.695272786594
Distanz zwischen Schaf04 und Auto06_rot => 31939.179338559035
Distanz zwischen Schaf04 und Auto07 => 27619.170726849985
Distanz zwischen Schaf04 und Auto08 => 22785.64129863542
Distanz zwischen Schaf04 und Auto08_bw => 21418.751890023203
Distanz zwischen Schaf04 und Auto08_mir => 22783.324121378566
Distanz zwischen Schaf04 und Auto08_rot => 17136.656403733246
Distanz zwischen Schaf04 und Auto09 => 22442.89640103283
Distanz zwischen Schaf04 und Auto09_bw => 23059.8706488329
Distanz zwischen Schaf04 und Auto09_mir => 22444.108561081288
Distanz zwischen Schaf04 und Auto09_rot => 16644.486806318277
Distanz zwischen Schaf04 und Auto10 => 33161.95134186547
Distanz zwischen Schaf04 und Auto10_bw => 32869.03546985712
Distanz zwischen Schaf04 und Auto10_mir => 33145.0050159371
Distanz zwischen Schaf04 und Auto10_rot => 25597.999327973503
Distanz zwischen Schaf04 und Bike01 => 1970.3161534160763
Distanz zwischen Schaf04 und Bike01_bw => 1501.850678141956
Distanz zwischen Schaf04 und Bike01_mir => 1944.3635124546963
Distanz zwischen Schaf04 und Bike01_rot => 6679.525750368311
Distanz zwischen Schaf04 und Bike02 => 35390.157836053
Distanz zwischen Schaf04 und Bike02_bw => 35444.06760355263
Distanz zwischen Schaf04 und Bike02_mir => 35441.767034301214
Distanz zwischen Schaf04 und Bike02_rot => 23564.146451630466
Distanz zwischen Schaf04 und Bike03 => 7039.693414051543
Distanz zwischen Schaf04 und Bike03_bw => 7314.008184628238
Distanz zwischen Schaf04 und Bike03_mir => 7041.135933676891
