Zeitstempel: 2020-09-23T08:21:13.828  ///  Zu vergleichendes Bild: Auto03

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Auto03 und Auto01 => 204355.29728
Distanz zwischen Auto03 und Auto01_bw => 203130.052608
Distanz zwischen Auto03 und Auto01_mir => 204355.29728
Distanz zwischen Auto03 und Auto01_rot => 180735.827968
Distanz zwischen Auto03 und Auto02 => 175742.222336
Distanz zwischen Auto03 und Auto02_bw => 176639.13984000002
Distanz zwischen Auto03 und Auto02_mir => 175742.222336
Distanz zwischen Auto03 und Auto02_rot => 154620.78054399998
Distanz zwischen Auto03 und Auto03 => 0.0
Distanz zwischen Auto03 und Auto03_bw => 93310.410752
Distanz zwischen Auto03 und Auto03_mir => 93312.0
Distanz zwischen Auto03 und Auto03_rot => 93310.664704
Distanz zwischen Auto03 und Auto04 => 119298.28556799998
Distanz zwischen Auto03 und Auto04_bw => 121089.31891200002
Distanz zwischen Auto03 und Auto04_mir => 119298.28556799998
Distanz zwischen Auto03 und Auto04_rot => 106687.885312
Distanz zwischen Auto03 und Auto05 => 177860.063232
Distanz zwischen Auto03 und Auto05_bw => 178883.25632
Distanz zwischen Auto03 und Auto05_mir => 177860.063232
Distanz zwischen Auto03 und Auto05_rot => 160637.99296
Distanz zwischen Auto03 und Auto06 => 175485.075456
Distanz zwischen Auto03 und Auto06_bw => 175485.075456
Distanz zwischen Auto03 und Auto06_mir => 175485.075456
Distanz zwischen Auto03 und Auto06_rot => 157884.01868799998
Distanz zwischen Auto03 und Auto07 => 147649.536
Distanz zwischen Auto03 und Auto08 => 131715.31776
Distanz zwischen Auto03 und Auto08_bw => 128892.329984
Distanz zwischen Auto03 und Auto08_mir => 131715.31776
Distanz zwischen Auto03 und Auto08_rot => 116675.198976
Distanz zwischen Auto03 und Auto09 => 130947.93216
Distanz zwischen Auto03 und Auto09_bw => 132418.084864
Distanz zwischen Auto03 und Auto09_mir => 130947.93216
Distanz zwischen Auto03 und Auto09_rot => 115518.58688
Distanz zwischen Auto03 und Auto10 => 160828.29312
Distanz zwischen Auto03 und Auto10_bw => 160196.325376
Distanz zwischen Auto03 und Auto10_mir => 160768.319488
Distanz zwischen Auto03 und Auto10_rot => 139970.985984
Distanz zwischen Auto03 und Bike01 => 93311.96723200001
Distanz zwischen Auto03 und Bike01_bw => 93309.07136
Distanz zwischen Auto03 und Bike01_mir => 93313.65888
Distanz zwischen Auto03 und Bike01_rot => 93314.24460800001
Distanz zwischen Auto03 und Bike02 => 162114.260992
Distanz zwischen Auto03 und Bike02_bw => 162560.04096
Distanz zwischen Auto03 und Bike02_mir => 162243.25632
Distanz zwischen Auto03 und Bike02_rot => 131395.64953599998
Distanz zwischen Auto03 und Bike03 => 93313.024
Distanz zwischen Auto03 und Bike03_bw => 93313.613824
Distanz zwischen Auto03 und Bike03_mir => 93313.024
Distanz zwischen Auto03 und Bike03_rot => 93309.943808
Distanz zwischen Auto03 und Bike04 => 143871.926272
Distanz zwischen Auto03 und Bike04_bw => 142721.76128
Distanz zwischen Auto03 und Bike04_mir => 143871.926272
Distanz zwischen Auto03 und Bike04_rot => 114560.32768
