Zeitstempel: 2020-09-23T10:29:33.828  ///  Zu vergleichendes Bild: Bike10

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike10 und Auto01 => 204351.074304
Distanz zwischen Bike10 und Auto01_bw => 203140.87424
Distanz zwischen Bike10 und Auto01_mir => 204351.074304
Distanz zwischen Bike10 und Auto01_rot => 180738.064384
Distanz zwischen Bike10 und Auto02 => 175745.179648
Distanz zwischen Bike10 und Auto02_bw => 176636.39552
Distanz zwischen Bike10 und Auto02_mir => 175745.179648
Distanz zwischen Bike10 und Auto02_rot => 154626.883584
Distanz zwischen Bike10 und Auto03 => 145408.38502400002
Distanz zwischen Bike10 und Auto03_bw => 145408.548864
Distanz zwischen Bike10 und Auto03_mir => 145408.38502400002
Distanz zwischen Bike10 und Auto03_rot => 145404.3136
Distanz zwischen Bike10 und Auto04 => 145407.049728
Distanz zwischen Bike10 und Auto04_bw => 145411.12934400002
Distanz zwischen Bike10 und Auto04_mir => 145407.049728
Distanz zwischen Bike10 und Auto04_rot => 145405.267968
Distanz zwischen Bike10 und Auto05 => 177851.682816
Distanz zwischen Bike10 und Auto05_bw => 178877.11232
Distanz zwischen Bike10 und Auto05_mir => 177851.682816
Distanz zwischen Bike10 und Auto05_rot => 160635.61728
Distanz zwischen Bike10 und Auto06 => 175490.760704
Distanz zwischen Bike10 und Auto06_bw => 175490.760704
Distanz zwischen Bike10 und Auto06_mir => 175490.760704
Distanz zwischen Bike10 und Auto06_rot => 157888.53248
Distanz zwischen Bike10 und Auto07 => 147648.475136
Distanz zwischen Bike10 und Auto08 => 145405.403136
Distanz zwischen Bike10 und Auto08_bw => 145410.95731199998
Distanz zwischen Bike10 und Auto08_mir => 145405.403136
Distanz zwischen Bike10 und Auto08_rot => 145406.72614400001
Distanz zwischen Bike10 und Auto09 => 145410.301952
Distanz zwischen Bike10 und Auto09_bw => 145408.667648
Distanz zwischen Bike10 und Auto09_mir => 145410.301952
Distanz zwischen Bike10 und Auto09_rot => 145404.768256
Distanz zwischen Bike10 und Auto10 => 160836.714496
Distanz zwischen Bike10 und Auto10_bw => 160192.200704
Distanz zwischen Bike10 und Auto10_mir => 160766.296064
Distanz zwischen Bike10 und Auto10_rot => 145403.92448
Distanz zwischen Bike10 und Bike01 => 145409.72032
Distanz zwischen Bike10 und Bike01_bw => 145408.08601600002
Distanz zwischen Bike10 und Bike01_mir => 145410.863104
Distanz zwischen Bike10 und Bike01_rot => 145407.123456
Distanz zwischen Bike10 und Bike02 => 162111.97952
Distanz zwischen Bike10 und Bike02_bw => 162556.06784
Distanz zwischen Bike10 und Bike02_mir => 162240.57344
Distanz zwischen Bike10 und Bike02_rot => 145408.995328
Distanz zwischen Bike10 und Bike03 => 145412.145152
Distanz zwischen Bike10 und Bike03_bw => 145404.796928
Distanz zwischen Bike10 und Bike03_mir => 145412.145152
Distanz zwischen Bike10 und Bike03_rot => 145408.08192
Distanz zwischen Bike10 und Bike04 => 145408.49152
Distanz zwischen Bike10 und Bike04_bw => 145406.533632
Distanz zwischen Bike10 und Bike04_mir => 145408.49152
Distanz zwischen Bike10 und Bike04_rot => 145406.23872
