Zeitstempel: 2020-09-22T22:39:51.847  ///  Zu vergleichendes Bild: Mensch10

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch10 und Auto01 => 204348.633088
Distanz zwischen Mensch10 und Auto01_bw => 203135.352832
Distanz zwischen Mensch10 und Auto01_mir => 204348.633088
Distanz zwischen Mensch10 und Auto01_rot => 180731.805696
Distanz zwischen Mensch10 und Auto02 => 175746.711552
Distanz zwischen Mensch10 und Auto02_bw => 176645.57056
Distanz zwischen Mensch10 und Auto02_mir => 175746.711552
Distanz zwischen Mensch10 und Auto02_rot => 154624.688128
Distanz zwischen Mensch10 und Auto03 => 93310.68928
Distanz zwischen Mensch10 und Auto03_bw => 92797.1328
Distanz zwischen Mensch10 und Auto03_mir => 93310.68928
Distanz zwischen Mensch10 und Auto03_rot => 84226.080768
Distanz zwischen Mensch10 und Auto04 => 119292.690432
Distanz zwischen Mensch10 und Auto04_bw => 121090.93273600002
Distanz zwischen Mensch10 und Auto04_mir => 119292.690432
Distanz zwischen Mensch10 und Auto04_rot => 106690.420736
Distanz zwischen Mensch10 und Auto05 => 177857.220608
Distanz zwischen Mensch10 und Auto05_bw => 178874.65472
Distanz zwischen Mensch10 und Auto05_mir => 177857.220608
Distanz zwischen Mensch10 und Auto05_rot => 160642.82624
Distanz zwischen Mensch10 und Auto06 => 175485.927424
Distanz zwischen Mensch10 und Auto06_bw => 175485.927424
Distanz zwischen Mensch10 und Auto06_mir => 175485.927424
Distanz zwischen Mensch10 und Auto06_rot => 157887.93855999998
Distanz zwischen Mensch10 und Auto07 => 147650.65830399998
Distanz zwischen Mensch10 und Auto08 => 131712.36044800002
Distanz zwischen Mensch10 und Auto08_bw => 128893.607936
Distanz zwischen Mensch10 und Auto08_mir => 131712.36044800002
Distanz zwischen Mensch10 und Auto08_rot => 116670.34112
Distanz zwischen Mensch10 und Auto09 => 130944.950272
Distanz zwischen Mensch10 und Auto09_bw => 132413.80864
Distanz zwischen Mensch10 und Auto09_mir => 130944.950272
Distanz zwischen Mensch10 und Auto09_rot => 115523.13344
Distanz zwischen Mensch10 und Auto10 => 160827.97363199998
Distanz zwischen Mensch10 und Auto10_bw => 160196.190208
Distanz zwischen Mensch10 und Auto10_mir => 160773.144576
Distanz zwischen Mensch10 und Auto10_rot => 139963.70329600002
Distanz zwischen Mensch10 und Bike01 => 80383.066112
Distanz zwischen Mensch10 und Bike01_bw => 80382.414848
Distanz zwischen Mensch10 und Bike01_mir => 80385.9456
Distanz zwischen Mensch10 und Bike01_rot => 80384.2048
Distanz zwischen Mensch10 und Bike02 => 162114.801664
Distanz zwischen Mensch10 und Bike02_bw => 162556.06784
Distanz zwischen Mensch10 und Bike02_mir => 162243.97311999998
Distanz zwischen Mensch10 und Bike02_rot => 131390.47219200002
Distanz zwischen Mensch10 und Bike03 => 88831.721472
Distanz zwischen Mensch10 und Bike03_bw => 89983.787008
Distanz zwischen Mensch10 und Bike03_mir => 88831.721472
Distanz zwischen Mensch10 und Bike03_rot => 80381.919232
Distanz zwischen Mensch10 und Bike04 => 143872.16384
Distanz zwischen Mensch10 und Bike04_bw => 142715.90399999998
