Zeitstempel: 2020-09-22T23:18:21.246  ///  Zu vergleichendes Bild: Pferd06

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Pferd06 und Auto01 => 204351.193088
Distanz zwischen Pferd06 und Auto01_bw => 203135.451136
Distanz zwischen Pferd06 und Auto01_mir => 204351.193088
Distanz zwischen Pferd06 und Auto01_rot => 180738.269184
Distanz zwischen Pferd06 und Auto02 => 175747.334144
Distanz zwischen Pferd06 und Auto02_bw => 176643.97312
Distanz zwischen Pferd06 und Auto02_mir => 175747.334144
Distanz zwischen Pferd06 und Auto02_rot => 154626.99008
Distanz zwischen Pferd06 und Auto03 => 137600.61440000002
Distanz zwischen Pferd06 und Auto03_bw => 137601.8432
Distanz zwischen Pferd06 und Auto03_mir => 137600.61440000002
Distanz zwischen Pferd06 und Auto03_rot => 137600.4096
Distanz zwischen Pferd06 und Auto04 => 137604.3008
Distanz zwischen Pferd06 und Auto04_bw => 137600.0
Distanz zwischen Pferd06 und Auto04_mir => 137604.3008
Distanz zwischen Pferd06 und Auto04_rot => 137601.536
Distanz zwischen Pferd06 und Auto05 => 177851.092992
Distanz zwischen Pferd06 und Auto05_bw => 178877.35808
Distanz zwischen Pferd06 und Auto05_mir => 177851.092992
Distanz zwischen Pferd06 und Auto05_rot => 160640.36864
Distanz zwischen Pferd06 und Auto06 => 175493.054464
Distanz zwischen Pferd06 und Auto06_bw => 175493.054464
Distanz zwischen Pferd06 und Auto06_mir => 175493.054464
Distanz zwischen Pferd06 und Auto06_rot => 157885.497344
Distanz zwischen Pferd06 und Auto07 => 147651.211264
Distanz zwischen Pferd06 und Auto08 => 137596.5184
Distanz zwischen Pferd06 und Auto08_bw => 137603.2768
Distanz zwischen Pferd06 und Auto08_mir => 137596.5184
Distanz zwischen Pferd06 und Auto08_rot => 137603.9936
Distanz zwischen Pferd06 und Auto09 => 137598.3616
Distanz zwischen Pferd06 und Auto09_bw => 137597.0304
Distanz zwischen Pferd06 und Auto09_mir => 137598.3616
Distanz zwischen Pferd06 und Auto09_rot => 137602.3552
Distanz zwischen Pferd06 und Auto10 => 160832.139264
Distanz zwischen Pferd06 und Auto10_bw => 160187.957248
Distanz zwischen Pferd06 und Auto10_mir => 160764.829696
Distanz zwischen Pferd06 und Auto10_rot => 139971.100672
Distanz zwischen Pferd06 und Bike01 => 137596.928
Distanz zwischen Pferd06 und Bike01_bw => 137604.4032
Distanz zwischen Pferd06 und Bike01_mir => 137603.37920000002
Distanz zwischen Pferd06 und Bike01_rot => 137598.976
Distanz zwischen Pferd06 und Bike02 => 162107.478016
Distanz zwischen Pferd06 und Bike02_bw => 162561.18784
Distanz zwischen Pferd06 und Bike02_mir => 162240.28672
Distanz zwischen Pferd06 und Bike02_rot => 137599.488
Distanz zwischen Pferd06 und Bike03 => 137598.1568
Distanz zwischen Pferd06 und Bike03_bw => 137599.7952
Distanz zwischen Pferd06 und Bike03_mir => 137598.1568
Distanz zwischen Pferd06 und Bike03_rot => 137602.25280000002
Distanz zwischen Pferd06 und Bike04 => 143873.482752
Distanz zwischen Pferd06 und Bike04_bw => 142715.78112
Distanz zwischen Pferd06 und Bike04_mir => 143873.482752
