Zeitstempel: 2020-09-23T00:16:34.973  ///  Zu vergleichendes Bild: Rad06

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Rad06 und Auto01 => 285050.384384
Distanz zwischen Rad06 und Auto01_bw => 285062.30784
Distanz zwischen Rad06 und Auto01_mir => 285050.384384
Distanz zwischen Rad06 und Auto01_rot => 285059.186688
Distanz zwischen Rad06 und Auto02 => 285052.444672
Distanz zwischen Rad06 und Auto02_bw => 285050.380288
Distanz zwischen Rad06 und Auto02_mir => 285052.444672
Distanz zwischen Rad06 und Auto02_rot => 285064.617984
Distanz zwischen Rad06 und Auto03 => 285059.93215999997
Distanz zwischen Rad06 und Auto03_bw => 285061.111808
Distanz zwischen Rad06 und Auto03_mir => 285059.93215999997
Distanz zwischen Rad06 und Auto03_rot => 285062.62732800003
Distanz zwischen Rad06 und Auto04 => 285054.795776
Distanz zwischen Rad06 und Auto04_bw => 285050.667008
Distanz zwischen Rad06 und Auto04_mir => 285054.795776
Distanz zwischen Rad06 und Auto04_rot => 285056.479232
Distanz zwischen Rad06 und Auto05 => 285056.700416
Distanz zwischen Rad06 und Auto05_bw => 285054.34112
Distanz zwischen Rad06 und Auto05_mir => 285056.700416
Distanz zwischen Rad06 und Auto05_rot => 285050.75711999997
Distanz zwischen Rad06 und Auto06 => 285053.03449600004
Distanz zwischen Rad06 und Auto06_bw => 285053.03449600004
Distanz zwischen Rad06 und Auto06_mir => 285053.03449600004
Distanz zwischen Rad06 und Auto06_rot => 285047.975936
Distanz zwischen Rad06 und Auto07 => 285053.325312
Distanz zwischen Rad06 und Auto08 => 285062.67648
Distanz zwischen Rad06 und Auto08_bw => 285050.92096
Distanz zwischen Rad06 und Auto08_mir => 285062.67648
Distanz zwischen Rad06 und Auto08_rot => 285051.71968
Distanz zwischen Rad06 und Auto09 => 285064.445952
Distanz zwischen Rad06 und Auto09_bw => 285051.932672
Distanz zwischen Rad06 und Auto09_mir => 285064.445952
Distanz zwischen Rad06 und Auto09_rot => 285054.37388800003
Distanz zwischen Rad06 und Auto10 => 285059.436544
Distanz zwischen Rad06 und Auto10_bw => 285060.911104
Distanz zwischen Rad06 und Auto10_mir => 285050.462208
Distanz zwischen Rad06 und Auto10_rot => 285052.776448
Distanz zwischen Rad06 und Bike01 => 285065.068544
Distanz zwischen Rad06 und Bike01_bw => 285052.55526399997
Distanz zwischen Rad06 und Bike01_mir => 285055.799296
Distanz zwischen Rad06 und Bike01_rot => 285060.13696000003
Distanz zwischen Rad06 und Bike02 => 285056.487424
Distanz zwischen Rad06 und Bike02_bw => 285064.577024
Distanz zwischen Rad06 und Bike02_mir => 285056.192512
Distanz zwischen Rad06 und Bike02_rot => 285054.291968
Distanz zwischen Rad06 und Bike03 => 285052.010496
Distanz zwischen Rad06 und Bike03_bw => 285049.356288
Distanz zwischen Rad06 und Bike03_mir => 285052.010496
Distanz zwischen Rad06 und Bike03_rot => 285053.272064
Distanz zwischen Rad06 und Bike04 => 285052.903424
Distanz zwischen Rad06 und Bike04_bw => 285055.557632
Distanz zwischen Rad06 und Bike04_mir => 285052.903424
Distanz zwischen Rad06 und Bike04_rot => 285047.463936
