Zeitstempel: 2020-09-23T01:01:52.116  ///  Zu vergleichendes Bild: Schaf03

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Schaf03 und Auto01 => 204355.596288
Distanz zwischen Schaf03 und Auto01_bw => 203140.370432
Distanz zwischen Schaf03 und Auto01_mir => 204355.596288
Distanz zwischen Schaf03 und Auto01_rot => 180735.68460799998
Distanz zwischen Schaf03 und Auto02 => 175741.6448
Distanz zwischen Schaf03 und Auto02_bw => 176642.10944
Distanz zwischen Schaf03 und Auto02_mir => 175741.6448
Distanz zwischen Schaf03 und Auto02_rot => 154621.35808
Distanz zwischen Schaf03 und Auto03 => 93313.175552
Distanz zwischen Schaf03 und Auto03_bw => 92797.8496
Distanz zwischen Schaf03 und Auto03_mir => 93313.175552
Distanz zwischen Schaf03 und Auto03_rot => 84224.110592
Distanz zwischen Schaf03 und Auto04 => 119293.35808
Distanz zwischen Schaf03 und Auto04_bw => 121088.66764800002
Distanz zwischen Schaf03 und Auto04_mir => 119293.35808
Distanz zwischen Schaf03 und Auto04_rot => 106691.33824
Distanz zwischen Schaf03 und Auto05 => 177855.93855999998
Distanz zwischen Schaf03 und Auto05_bw => 178875.20768
Distanz zwischen Schaf03 und Auto05_mir => 177855.93855999998
Distanz zwischen Schaf03 und Auto05_rot => 160641.536
Distanz zwischen Schaf03 und Auto06 => 175491.633152
Distanz zwischen Schaf03 und Auto06_bw => 175491.633152
Distanz zwischen Schaf03 und Auto06_mir => 175491.633152
Distanz zwischen Schaf03 und Auto06_rot => 157891.293184
Distanz zwischen Schaf03 und Auto07 => 147651.940352
Distanz zwischen Schaf03 und Auto08 => 131712.68403200002
Distanz zwischen Schaf03 und Auto08_bw => 128895.332352
Distanz zwischen Schaf03 und Auto08_mir => 131712.68403200002
Distanz zwischen Schaf03 und Auto08_rot => 116671.422464
Distanz zwischen Schaf03 und Auto09 => 130943.40608
Distanz zwischen Schaf03 und Auto09_bw => 132415.844352
Distanz zwischen Schaf03 und Auto09_mir => 130943.40608
Distanz zwischen Schaf03 und Auto09_rot => 115521.04448
Distanz zwischen Schaf03 und Auto10 => 160827.06432
Distanz zwischen Schaf03 und Auto10_bw => 160194.011136
Distanz zwischen Schaf03 und Auto10_mir => 160772.108288
Distanz zwischen Schaf03 und Auto10_rot => 139966.189568
Distanz zwischen Schaf03 und Bike01 => 80702.50496
Distanz zwischen Schaf03 und Bike01_bw => 80702.54592
Distanz zwischen Schaf03 und Bike01_mir => 80705.650688
Distanz zwischen Schaf03 und Bike01_rot => 80705.941504
Distanz zwischen Schaf03 und Bike02 => 162116.431872
Distanz zwischen Schaf03 und Bike02_bw => 162558.58688000002
Distanz zwischen Schaf03 und Bike02_mir => 162235.47392000002
Distanz zwischen Schaf03 und Bike02_rot => 131390.017536
Distanz zwischen Schaf03 und Bike03 => 88830.09536
Distanz zwischen Schaf03 und Bike03_bw => 89986.289664
Distanz zwischen Schaf03 und Bike03_mir => 88830.09536
Distanz zwischen Schaf03 und Bike03_rot => 80706.240512
Distanz zwischen Schaf03 und Bike04 => 143874.43712000002
Distanz zwischen Schaf03 und Bike04_bw => 142715.5968
