Zeitstempel: 2020-09-05T17:05:54.965  ///  Zu vergleichendes Bild: Rad10

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Rad10 und Auto01 => 1600.497572392801
Distanz zwischen Rad10 und Auto01_bw => 532.3849718468263
Distanz zwischen Rad10 und Auto01_mir => 1600.1476128407921
Distanz zwischen Rad10 und Auto01_rot => 1076.986888046247
Distanz zwischen Rad10 und Auto02 => 19150.49933989242
Distanz zwischen Rad10 und Auto02_bw => 19542.490661935903
Distanz zwischen Rad10 und Auto02_mir => 19398.15532209606
Distanz zwischen Rad10 und Auto02_rot => 14293.95037148081
Distanz zwischen Rad10 und Auto03 => 6706.549675069235
Distanz zwischen Rad10 und Auto03_bw => 6479.359094692358
Distanz zwischen Rad10 und Auto03_mir => 6706.528441582697
Distanz zwischen Rad10 und Auto03_rot => 5232.763319870692
Distanz zwischen Rad10 und Auto04 => 3988.122115298753
Distanz zwischen Rad10 und Auto04_bw => 3957.4883997801467
Distanz zwischen Rad10 und Auto04_mir => 3988.21933813884
Distanz zwischen Rad10 und Auto04_rot => 3113.349704743837
Distanz zwischen Rad10 und Auto05 => 5802.226645797484
Distanz zwischen Rad10 und Auto05_bw => 6325.951110527765
Distanz zwischen Rad10 und Auto05_mir => 5800.976470353534
Distanz zwischen Rad10 und Auto05_rot => 5383.593730072049
Distanz zwischen Rad10 und Auto06 => 4412.775659325969
Distanz zwischen Rad10 und Auto06_bw => 4094.641315012424
Distanz zwischen Rad10 und Auto06_mir => 4412.936414240991
Distanz zwischen Rad10 und Auto06_rot => 2709.69718864265
Distanz zwischen Rad10 und Auto07 => 22112.429211782634
Distanz zwischen Rad10 und Auto08 => 6755.643879786388
Distanz zwischen Rad10 und Auto08_bw => 6913.637364106888
Distanz zwischen Rad10 und Auto08_mir => 6755.2862507836735
Distanz zwischen Rad10 und Auto08_rot => 4174.3951012463685
Distanz zwischen Rad10 und Auto09 => 13716.210311602734
Distanz zwischen Rad10 und Auto09_bw => 14359.094179853439
Distanz zwischen Rad10 und Auto09_mir => 13716.363494013669
Distanz zwischen Rad10 und Auto09_rot => 11017.489841811255
Distanz zwischen Rad10 und Auto10 => 13251.108437799641
Distanz zwischen Rad10 und Auto10_bw => 13299.862587639365
Distanz zwischen Rad10 und Auto10_mir => 13251.496455148457
Distanz zwischen Rad10 und Auto10_rot => 10334.75393495441
Distanz zwischen Rad10 und Bike01 => 2781.138553007247
Distanz zwischen Rad10 und Bike01_bw => 2849.490941550629
Distanz zwischen Rad10 und Bike01_mir => 2435.8116574095575
Distanz zwischen Rad10 und Bike01_rot => 2263.165630876047
Distanz zwischen Rad10 und Bike02 => 508.7715069819194
Distanz zwischen Rad10 und Bike02_bw => 78.48133004162455
Distanz zwischen Rad10 und Bike02_mir => 390.433809600943
Distanz zwischen Rad10 und Bike02_rot => 719.3643606271627
Distanz zwischen Rad10 und Bike03 => 575.446329139872
Distanz zwischen Rad10 und Bike03_bw => 689.0923619192919
Distanz zwischen Rad10 und Bike03_mir => 575.6868271905372
Distanz zwischen Rad10 und Bike03_rot => 1144.09672454526
Distanz zwischen Rad10 und Bike04 => 1714.7810683327623
