Zeitstempel: 2020-09-05T17:52:55.968  ///  Zu vergleichendes Bild: Schaf03

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Schaf03 und Auto01 => 1345.3506240115646
Distanz zwischen Schaf03 und Auto01_bw => 540.1932590777853
Distanz zwischen Schaf03 und Auto01_mir => 1344.9775884975722
Distanz zwischen Schaf03 und Auto01_rot => 967.4838179255614
Distanz zwischen Schaf03 und Auto02 => 16010.2345264792
Distanz zwischen Schaf03 und Auto02_bw => 16427.33790165833
Distanz zwischen Schaf03 und Auto02_mir => 16315.190415961679
Distanz zwischen Schaf03 und Auto02_rot => 11869.852109323283
Distanz zwischen Schaf03 und Auto03 => 5698.810490718679
Distanz zwischen Schaf03 und Auto03_bw => 5416.097257298264
Distanz zwischen Schaf03 und Auto03_mir => 5698.2011211361605
Distanz zwischen Schaf03 und Auto03_rot => 4462.837971129763
Distanz zwischen Schaf03 und Auto04 => 3585.6183932906342
Distanz zwischen Schaf03 und Auto04_bw => 3515.4267814332875
Distanz zwischen Schaf03 und Auto04_mir => 3585.721698995826
Distanz zwischen Schaf03 und Auto04_rot => 2784.384117033662
Distanz zwischen Schaf03 und Auto05 => 4597.681557364705
Distanz zwischen Schaf03 und Auto05_bw => 5080.166767516028
Distanz zwischen Schaf03 und Auto05_mir => 4596.287698374502
Distanz zwischen Schaf03 und Auto05_rot => 4307.542209581915
Distanz zwischen Schaf03 und Auto06 => 3322.592101625906
Distanz zwischen Schaf03 und Auto06_bw => 3100.1554262696286
Distanz zwischen Schaf03 und Auto06_mir => 3322.6775473660855
Distanz zwischen Schaf03 und Auto06_rot => 2292.14585717893
Distanz zwischen Schaf03 und Auto07 => 17269.18095074324
Distanz zwischen Schaf03 und Auto08 => 5370.726857913399
Distanz zwischen Schaf03 und Auto08_bw => 5495.3448204403885
Distanz zwischen Schaf03 und Auto08_mir => 5370.370831216062
Distanz zwischen Schaf03 und Auto08_rot => 3348.560779435152
Distanz zwischen Schaf03 und Auto09 => 11958.034171330646
Distanz zwischen Schaf03 und Auto09_bw => 12518.64279000616
Distanz zwischen Schaf03 und Auto09_mir => 11958.1912705662
Distanz zwischen Schaf03 und Auto09_rot => 8282.41648605935
Distanz zwischen Schaf03 und Auto10 => 10348.218482869854
Distanz zwischen Schaf03 und Auto10_bw => 10384.861001302384
Distanz zwischen Schaf03 und Auto10_mir => 10348.607061824961
Distanz zwischen Schaf03 und Auto10_rot => 8089.4851142641855
Distanz zwischen Schaf03 und Bike01 => 2302.8795065081035
Distanz zwischen Schaf03 und Bike01_bw => 2356.26158097539
Distanz zwischen Schaf03 und Bike01_mir => 2036.088641109958
Distanz zwischen Schaf03 und Bike01_rot => 1912.5976740578185
Distanz zwischen Schaf03 und Bike02 => 584.847285463337
Distanz zwischen Schaf03 und Bike02_bw => 200.8575159852879
Distanz zwischen Schaf03 und Bike02_mir => 483.19967774872856
Distanz zwischen Schaf03 und Bike02_rot => 465.83106668864866
Distanz zwischen Schaf03 und Bike03 => 346.0723611958695
Distanz zwischen Schaf03 und Bike03_bw => 444.43984627172057
Distanz zwischen Schaf03 und Bike03_mir => 346.2633494009589
